City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,tortoli,39.9256,9.6572,299.05,83,0,4.12,IT,1720733346
197,tokar,18.4254,37.729,307.6,29,20,2.19,SD,1720733347
198,wailua homesteads,22.0669,-159.378,300.59,75,40,8.75,US,1720733348
199,barranca,-10.75,-77.7667,291.38,71,20,5.25,PE,1720733349
200,mallemort,43.7317,5.1795,299.36,66,34,2.56,FR,1720733351
201,susuman,62.7833,148.1667,293.0,41,17,0.81,RU,1720733352
202,caleta de carquin,-11.0925,-77.6267,291.87,71,15,5.87,PE,1720733353
203,undurkhaan,47.3194,110.6556,290.52,75,6,1.97,MN,1720733354
204,bokoro,12.3807,17.0568,301.09,63,100,5.06,TD,1720733355
205,tofol,5.3248,163.0078,301.22,79,100,4.66,FM,1720733357
206,monte alegre de sergipe,-10.0272,-37.5622,294.8,72,100,4.49,BR,1720733358
207,sisimiut,66.9395,-53.6735,281.1,75,65,2.79,GL,1720733101
208,remire-montjoly,4.9167,-52.2667,302.17,79,0,2.06,GF,1720733360
209,labytnangi,66.6572,66.4183,283.78,89,98,4.33,RU,1720733362
210,savannakhet,16.566,104.751,297.65,91,55,4.42,LA,1720733363
211,minab,27.1467,57.0801,306.71,62,94,1.14,IR,1720733364
212,liwale,-9.7667,37.9333,292.73,62,67,0.09,TZ,1720733365
213,dabhol,17.6,73.1667,299.46,91,100,2.96,IN,1720733367
214,new norfolk,-42.7826,147.0587,282.87,85,100,0.66,AU,1720733368
215,lexington,37.9887,-84.4777,304.15,48,100,2.06,US,1720733245
216,kirksville,40.1948,-92.5833,301.38,62,40,1.67,US,1720733370
217,santa cruz,-17.8,-63.1667,283.18,100,100,5.66,BO,1720733371
218,williamston,35.8546,-77.0555,302.14,80,50,4.25,US,1720733374
219,inhambane,-23.865,35.3833,292.2,76,0,4.83,MZ,1720733375
220,marsa alam,25.0757,34.8918,306.42,37,39,1.25,EG,1720733376
221,nangomba,-10.9,38.5,294.71,72,55,1.62,TZ,1720733378
222,minggang,32.4586,114.0486,296.04,98,84,1.05,CN,1720733379
223,meadow lakes,61.6247,-149.6011,292.24,53,75,1.79,US,1720733380
224,margate,51.3813,1.3862,290.54,82,100,3.81,GB,1720733381
225,ondjiva,-17.0667,15.7333,286.71,12,0,2.39,AO,1720733383
226,lae,-6.7221,146.9847,296.52,81,100,2.74,PG,1720733384
227,happy valley-goose bay,53.3168,-60.3315,296.32,31,20,2.57,CA,1720733385
228,rawson,-43.3002,-65.1023,280.53,47,0,5.54,AR,1720733386
229,vilyuchinsk,52.9306,158.4028,286.3,97,100,0.27,RU,1720733388
230,sudislavl',57.8817,41.7083,287.04,76,77,0.75,RU,1720733389
231,ust-tsilma,65.441,52.1498,279.64,93,23,1.88,RU,1720733390
232,coquimbo,-29.9533,-71.3436,286.0,59,0,4.63,CL,1720733143
233,tahoua,14.8888,5.2692,302.27,52,100,5.49,NE,1720733393
234,cururupu,-1.8283,-44.8683,298.54,81,20,1.35,BR,1720733394
235,halifax,44.6453,-63.5724,294.53,92,100,9.26,CA,1720733395
236,jinka,5.65,36.65,293.91,63,99,0.81,ET,1720733396
237,jaithari,23.2333,78.6167,300.45,82,100,6.61,IN,1720733398
238,ceeldheer,3.8488,47.1806,297.33,84,78,8.66,SO,1720733399
239,buala,-8.145,159.5921,300.28,78,83,0.87,SB,1720733400
240,saint-pierre,-21.3393,55.4781,292.97,68,0,4.63,RE,1720733401
241,bamboo flat,11.7,92.7167,300.43,80,100,6.07,IN,1720733403
242,plymstock,50.36,-4.0905,287.74,86,33,1.34,GB,1720733404
243,lazaro cardenas,17.9583,-102.2,299.08,84,100,2.48,MX,1720733406
244,al wafrah,28.6392,47.9306,311.27,14,1,4.38,KW,1720733407
245,north ward,-19.2454,146.8075,289.1,94,20,0.51,AU,1720733408
246,port alfred,-33.5906,26.891,289.09,82,32,0.66,ZA,1720733410
247,jalai nur,49.45,117.7,291.61,81,90,4.27,CN,1720733411
248,uturoa,-16.7333,-151.4333,298.27,82,84,5.54,PF,1720733412
249,roberval,48.5168,-72.2324,299.4,65,75,0.0,CA,1720733413
250,tazacorte,28.629,-17.9293,296.01,92,75,7.2,ES,1720733415
251,okahandja,-21.9833,16.9167,283.91,26,0,0.65,NA,1720733416
252,beloyarskiy,63.7119,66.6722,284.79,75,5,2.95,RU,1720733417
253,montagu,-40.7667,144.9667,282.45,83,4,2.3,AU,1720733418
254,ad dabbah,18.05,30.95,309.34,29,100,2.13,SD,1720733420
255,alta,69.9689,23.2717,288.74,83,75,3.09,NO,1720733421
256,rikaze,29.25,88.8833,288.27,57,92,1.52,CN,1720733422
257,zag,46.9441,99.165,284.29,73,4,2.72,MN,1720733423
258,mhamid,29.82,-5.72,310.47,9,0,2.57,MA,1720733425
259,fort mcmurray,56.7268,-111.381,303.92,19,0,7.72,CA,1720733426
260,kassala,15.451,36.4,304.4,54,81,7.03,SD,1720733427
261,rasra,25.85,83.85,301.22,84,100,1.64,IN,1720733428
262,mandalgovi,45.7625,106.2708,291.96,63,100,3.15,MN,1720733429
263,esbjerg,55.4667,8.45,288.77,81,75,3.09,DK,1720733431
264,veraval,20.9,70.3667,301.54,85,100,8.79,IN,1720733432
265,tabou,4.423,-7.3528,297.51,83,97,4.94,CI,1720733433
266,murray bridge,-35.1167,139.2667,282.78,91,4,3.01,AU,1720733434
267,altay,47.8667,88.1167,287.14,51,0,2.89,CN,1720733436
268,grand rapids,42.9634,-85.6681,301.61,61,75,2.06,US,1720733437
269,mejit,10.2753,170.8646,301.27,77,71,8.08,MH,1720733438
270,isafjordur,66.0755,-23.124,282.56,93,100,2.95,IS,1720733439
271,soanindrariny,-19.9049,47.2352,277.19,72,36,1.27,MG,1720733441
272,ribeira grande,38.5167,-28.7,296.37,78,75,4.92,PT,1720733442
273,vernon,50.2581,-119.2691,308.31,18,0,1.54,CA,1720733361
274,hirara,24.8,125.2833,303.07,89,20,6.17,JP,1720733444
275,chibougamau,49.9168,-74.3659,298.94,31,0,1.54,CA,1720733446
276,fort bragg,35.139,-79.006,304.23,60,40,4.12,US,1720733447
277,vorgashor,67.5833,63.95,279.04,83,98,4.14,RU,1720733448
278,panaba,21.2833,-88.2667,302.67,78,74,5.81,MX,1720733450
279,vilyuysk,63.7553,121.6247,291.2,87,9,2.19,RU,1720733451
280,natore,24.4165,88.9826,298.7,97,100,4.12,BD,1720733452
281,kievka,50.2619,71.5514,291.39,56,6,4.67,KZ,1720733453
282,chegdomyn,51.1167,133.0167,285.42,90,99,0.71,RU,1720733455
283,labasa,-16.4167,179.3833,298.88,67,92,5.42,FJ,1720733456
284,cambria,35.5641,-121.0808,315.8,61,30,2.2,US,1720733457
285,barclayville,4.6797,-8.2339,297.23,84,93,3.46,LR,1720733458
286,south hedland,-20.4089,118.5983,294.11,56,13,4.63,AU,1720733460
287,sinabang,2.4803,96.3801,299.55,81,100,1.24,ID,1720733461
288,mossel bay,-34.1831,22.146,285.11,75,81,5.0,ZA,1720733462
289,sandpoint,48.2766,-116.5533,305.85,33,0,3.13,US,1720733404
290,nago,26.5881,127.9761,303.23,86,100,4.17,JP,1720733465
291,phan thiet,10.9333,108.1,298.11,91,100,4.17,VN,1720733466
292,aras-asan,8.8908,126.3033,298.14,87,70,2.0,PH,1720733468
293,geraldton,-28.7667,114.6,285.38,87,69,2.57,AU,1720733418
294,kupang,-10.1667,123.5833,293.47,94,20,0.51,ID,1720733471
295,tamanrasset,22.785,5.5228,307.1,10,40,3.09,DZ,1720733473
296,rinteln,52.186,9.0792,291.94,80,67,0.73,DE,1720733474
297,whangarei,-35.7317,174.3239,283.65,80,21,1.08,NZ,1720733476
298,constantia,44.1833,28.65,297.53,53,1,4.13,RO,1720733478
299,sao vicente,-23.9631,-46.3919,292.13,93,100,1.54,BR,1720733479
300,callaway,30.153,-85.5699,307.18,57,40,5.14,US,1720733480
301,sarmiento,-45.5882,-69.07,275.04,76,0,0.87,AR,1720733481
302,lichuan,30.3,108.85,292.93,99,99,1.17,CN,1720733482
303,zheshart,62.0731,49.5733,281.62,83,6,1.81,RU,1720733484
304,sihanoukville,10.6093,103.5296,298.12,94,75,1.03,KH,1720733485
305,abaza,52.655,90.0928,285.17,90,24,2.34,RU,1720733486
306,vilhena,-12.7406,-60.1458,302.27,51,0,3.6,BR,1720733487
307,axim,4.8699,-2.2405,297.64,87,99,4.48,GH,1720733489
308,al kut,32.5147,45.819,312.48,11,0,6.53,IQ,1720733490
309,komsomol'skiy,43.9783,46.6985,297.37,43,88,1.85,RU,1720733491
310,revda,56.801,59.9303,288.34,97,98,2.3,RU,1720733492
311,la sarre,48.8002,-79.1996,296.08,58,0,2.39,CA,1720733494
312,akureyri,65.6835,-18.0878,290.11,48,40,5.14,IS,1720733495
313,mahasamund,21.1,82.1,299.62,85,97,3.26,IN,1720733496
314,cadale,2.7603,46.3222,298.04,85,82,7.97,SO,1720733497
315,castelldefels,41.2779,1.9703,301.5,71,20,4.63,ES,1720733499
316,bonthe,7.5264,-12.505,297.43,91,57,3.07,SL,1720733500
317,yulinshi,38.2906,109.7494,296.61,65,58,1.18,CN,1720733502
318,baiyin,36.5583,104.2081,294.19,55,80,0.51,CN,1720733503
319,krasnyy chikoy,50.3643,108.7512,289.6,88,39,0.7,RU,1720733505
320,yakeshi,49.2833,120.7333,290.62,82,87,1.89,CN,1720733506
321,trairi,-3.2778,-39.2689,298.06,78,5,4.97,BR,1720733507
322,luderitz,-26.6481,15.1594,288.08,86,99,3.46,NA,1720733508
323,kyelang,32.5833,77.0333,279.54,91,4,1.8,IN,1720733510
324,khonsa,27.0167,95.5667,296.65,94,91,1.23,IN,1720733511
325,westwood,42.214,-71.2245,305.02,62,0,8.05,US,1720733512
326,katsuren-haebaru,26.3369,127.8719,303.2,85,40,5.14,JP,1720733513
327,tianfu,37.1936,122.0511,295.48,79,2,0.99,CN,1720733515
328,funafuti,-8.5243,179.1942,304.15,79,40,2.06,TV,1720733516
329,ilulissat,69.2167,-51.1,279.16,87,75,3.09,GL,1720733517
330,isla mujeres,21.2311,-86.731,305.18,71,12,3.87,MX,1720733519
331,puerto deseado,-47.7503,-65.8938,277.94,65,27,4.98,AR,1720733520
332,portland,45.5234,-122.6762,303.14,47,20,5.14,US,1720733389
